short_name longitude latitude num bio3 prec7 tmax10 pop1 pop2
D3-0388 31.10044 3.02994 246 72 107 279 0.031955163 0.005349075
D3-0389 31.10044 3.02994 247 72 107 279 0.031600066 0.004824134
D4-0406 31.12947 2.51492 248 71 106 264 0.026897866 0.006099192
D4-0407 31.12947 2.51492 249 71 106 264 0.022624506 0.004627436
D4-0408 31.12947 2.51492 250 71 106 264 0.026721802 0.00534885
D4-0409 31.12947 2.51492 251 71 106 264 0.030376581 -0.000703137
D4-0410 31.1379 2.54497 252 71 105 266 0.02940324 0.004256983
D4-0411 31.1379 2.54497 253 71 105 266 0.025631415 0.004952044
D4-0413 31.1379 2.54497 254 71 105 266 0.021297625 -0.000700241
D4-0414 31.07799 2.47911 255 71 110 260 0.026520098 0.001852954
D4-0415 31.07799 2.47911 256 71 110 260 0.026463246 0.002589414
D4-0417 31.07799 2.47911 257 71 110 260 0.026061536 0.000240104
D5-0686 31.31653 1.70078 258 82 85 288 -0.043662387 0.015138442
D5-0687 31.31653 1.70078 259 82 85 288 -0.041686789 0.009642695
D5-0689 31.31653 1.70078 260 82 85 288 -0.041961842 0.012918504
D5-0690 31.31653 1.70078 261 82 85 288 -0.057410573 0.017465336
D5-0691 31.30803 1.61455 262 81 90 281 -0.039488894 0.011682224
D5-0692 31.30803 1.61455 263 81 90 281 -0.039442576 0.014757939
D5-0694 31.30803 1.61455 264 81 90 281 -0.043092189 0.018866372
D5-0695 31.30803 1.61455 265 81 90 281 -0.050927528 0.016523584
D6-0696 31.34532 0.75372 266 81 67 269 -0.021552162 0.014554712
D6-0697 31.34532 0.75372 267 81 67 269 -0.055304652 0.02408022
D6-0698 31.34532 0.75372 268 81 67 269 -0.05709829 0.019906189
D6-0699 31.34532 0.75372 269 81 67 269 -0.045267997 0.018219776
D6-0702 31.30129 0.97391 270 81 74 272 -0.04812344 0.015664003
D6-0703 31.30129 0.97391 271 81 74 272 -0.053651613 0.007548284
D6-0704 31.30129 0.97391 272 81 74 272 -0.04817642 0.021419664
D6-0705 31.30129 0.97391 273 81 74 272 -0.042715437 0.018160928
D6-0707 31.23101 1.00349 274 81 74 275 0.00235837 -0.18295822
E2-0334 31.80721 3.37071 275 73 135 305 0.031210219 0.006394789
E2-0335 31.80721 3.37071 276 73 135 305 0.030219416 -1.54E-05
E2-0336 31.80721 3.37071 277 73 135 305 0.031160572 0.005453673
E2-0338 31.87626 3.358338 278 74 139 309 0.030824578 0.007468243
E2-0339 31.87626 3.358338 279 74 139 309 0.031056026 0.007787509
E2-0340 31.87626 3.358338 280 74 139 309 0.029527508 -0.002667391
E2-0341 31.87626 3.358338 281 74 139 309 0.03333922 0.002084819
E3-0343 31.78031 3.21591 282 72 130 294 0.027859033 0.007956015
E3-0344 31.78031 3.21591 283 72 130 294 0.029683659 0.005135972
E3-0345 31.78031 3.21591 284 72 130 294 0.027952442 0.004900826
E3-0347 31.684 3.14992 285 72 119 286 0.025709717 0.008193453
E3-0348 31.684 3.14992 286 72 119 286 0.028354661 0.008806736
E3-0349 31.684 3.14992 287 72 119 286 0.027747964 0.006938853
E3-0351 31.73258 3.14143 288 72 123 286 0.025049025 0.008317721
E3-0354 31.7562 3.16741 289 73 126 290 0.027931526 0.00703094
E3-0355 31.7562 3.16741 290 73 126 290 0.031088489 0.006688648
E3-0356 31.7562 3.16741 291 73 126 290 0.029180567 0.005021668
E4-0390 31.49471 2.46127 292 64 87 265 0.024699921 0.005060425
E4-0392 31.49471 2.46127 293 64 87 265 0.027700257 0.005487277
E4-0393 31.49471 2.46127 294 64 87 265 0.034362705 0.0091476
E4-0394 31.45993 2.48431 295 64 89 260 0.025936938 0.005355948
E4-0395 31.45993 2.48431 296 64 89 260 0.025834681 0.008835704
E4-0396 31.45993 2.48431 297 64 89 260 0.027375654 0.011165559
E4-0397 31.45993 2.48431 298 64 89 260 0.029814368 0.006667197
E4-0398 31.45218 2.50504 299 63 88 258 0.030770123 0.007248369
E4-0399 31.45218 2.50504 300 63 88 258 0.026873139 0.011057787
E4-0400 31.45218 2.50504 301 63 88 258 0.025839578 0.00746143
E4-0402 31.49154 2.4649 302 65 88 264 0.03356596 -0.000701903
E4-0403 31.49154 2.4649 303 65 88 264 0.023252368 0.00525129
E4-0404 31.49154 2.4649 304 65 88 264 0.024736796 0.003969722
E4-0405 31.49154 2.4649 305 65 88 264 0.026456959 0.001321045
E5-0666 31.8742 1.63416 306 81 87 286 -0.032020154 0.014174977
E5-0668 31.8742 1.63416 307 81 87 286 -0.019012322 -0.019930541
E5-0669 31.8742 1.63416 308 81 87 286 -0.000395672 0.004393194
E5-0670 31.8742 1.63416 309 81 87 286 -0.032295545 0.016723933
E5-0671 31.77569 1.68576 310 81 94 287 -0.03746127 -0.001589891
E5-0672 31.77569 1.68576 311 81 94 287 -0.03352963 0.015554718
E5-0673 31.77569 1.68576 312 81 94 287 -0.015489649 0.014651045
E5-0674 31.77569 1.68576 313 81 94 287 -0.030131341 0.008826644
E5-0675 31.77569 1.68576 314 81 94 287 -0.014109831 0.012955083
E5-0676 31.79751 1.66295 315 81 91 287 -0.006636031 0.008144668
E5-0680 31.79751 1.66295 316 81 91 287 -0.025952655 -0.017786325
E5-0683 31.70617 1.65583 317 81 100 284 -0.004340621 -0.010446552
E6-0716 31.83417 0.89346 318 82 70 281 -0.008744508 -0.06146266
E6-0717 31.83417 0.89346 319 82 70 281 0.012425335 -0.159061179
E6-0718 31.83417 0.89346 320 82 70 281 -0.00505241 -0.2185188
E6-0719 31.83417 0.89346 321 82 70 281 0.00452941 -0.146654654
E6-0721 31.74691 0.80434 322 81 68 278 0.006721156 -0.064813344
E6-0722 31.74691 0.80434 323 81 68 278 0.007780468 -0.160648587
E6-0723 31.74691 0.80434 324 81 68 278 -0.010485846 -0.022912627
E6-0725 31.74691 0.80434 325 81 68 278 0.024399891 -0.021229755
E6-0736 31.71469 0.96348 326 82 74 277 -0.051615356 0.014377932
E6-0737 31.71469 0.96348 327 82 74 277 -0.049115568 0.013874444
E6-0738 31.71469 0.96348 328 82 74 277 -0.051965689 0.01769378
E6-0739 31.71469 0.96348 329 82 74 277 -0.049662906 0.013351731
E6-0740 31.71469 0.96348 330 82 74 277 -0.052269101 0.019308299
E6-0741 31.54386 1.04473 331 81 73 282 -0.047337155 0.013858282
E6-0742 31.54386 1.04473 332 81 73 282 -0.029744889 0.013721129
E6-0744 31.54386 1.04473 333 81 73 282 -0.026386303 0.021616781
E6-0745 31.54386 1.04473 334 81 73 282 -0.04984978 -0.009911928
E7-0766 31.37542 0.56042 335 81 56 257 -0.012881818 0.009104834
E7-0767 31.37542 0.56042 336 81 56 257 -0.035898565 0.012801467
E7-0768 31.37542 0.56042 337 81 56 257 -0.02440164 0.008769123
E7-0769 31.37542 0.56042 338 81 56 257 -0.030403182 0.008484764
E7-0770 31.37542 0.56042 339 81 56 257 -0.026455366 0.012989162
E7-0771 31.90779 0.39083 340 83 47 273 -0.031215227 0.022766969
E7-0773 31.90779 0.39083 341 83 47 273 -0.032702584 0.012858362
E7-0774 31.90779 0.39083 342 83 47 273 -0.044064549 0.011475901
E7-0775 31.90779 0.39083 343 83 47 273 -0.047564467 0.015416907
E7-0777 31.46853 0.50165 344 82 50 268 -0.042572889 0.018891603
E7-0778 31.46853 0.50165 345 82 50 268 -0.056169009 -0.029034897
E7-0779 31.46853 0.50165 346 82 50 268 -0.039973555 0.022591749
E7-0784 31.89656 0.37013 347 82 47 273 -0.042033866 0.017203251
E8-0189 31.57072 -0.10603 348 81 25 269 0.01224616 0.001075866
E8-0190 31.57072 -0.10603 349 81 25 269 -0.011016438 0.002413198
E8-0191 31.57072 -0.10603 350 81 25 269 -0.034962242 -0.005489298
E8-0192 31.57072 -0.10603 351 81 25 269 -0.02260226 0.001814987
E8-0194 31.56244 -0.10428 352 81 25 269 -0.023928848 -0.009157082
E8-0195 31.56244 -0.10428 353 81 25 269 -0.031478308 0.017183164
E8-0196 31.56244 -0.10428 354 81 25 269 -0.040692283 -0.042168528
E8-0197 31.5632 -0.1178 355 81 25 270 -0.028082185 -0.005329499
E8-0198 31.5632 -0.1178 356 81 25 270 -0.011230292 0.007602722
E8-0199 31.5632 -0.1178 357 81 25 270 -0.032008394 0.009481736
E8-0200 31.5632 -0.1178 358 81 25 270 -0.03864159 -0.007630916
E8-0201 31.55935 -0.14461 359 81 24 271 -0.011528748 -0.00226247
E8-0202 31.55935 -0.14461 360 81 24 271 -0.032928037 0.013315229
E8-0203 31.55935 -0.14461 361 81 24 271 -0.025342095 -0.019149552
E8-0206 31.5892 -0.144 362 81 25 268 -0.011471297 0.022194909
E8-0207 31.5892 -0.144 363 81 25 268 -0.005567605 -0.010978124
E8-0208 31.5892 -0.144 364 81 25 268 -0.020060372 -0.012393654
F2-0306 32.00795 3.46875 365 74 138 321 0.027620306 0.007596883
F2-0307 32.00795 3.46875 366 74 138 321 0.027275685 0.003405933
F2-0308 32.00795 3.46875 367 74 138 321 0.029116154 -0.00383729
F2-0309 32.00795 3.46875 368 74 138 321 0.034041105 0.00225073
F2-0310 32.06627 3.32345 369 75 145 311 0.031860953 0.00167322
F2-0311 32.06627 3.32345 370 75 145 311 0.033304937 0.008671845
F2-0312 32.06627 3.32345 371 75 145 311 0.029355127 0.006033883
F2-0313 32.06627 3.32345 372 75 145 311 0.029939502 0.001893669
F2-0314 32.12154 3.26139 373 75 150 306 0.026349244 -0.000184852
F2-0316 32.12154 3.26139 374 75 150 306 0.030883605 0.00346712
F2-0317 32.12154 3.26139 375 75 150 306 0.028289972 0.004245368
