Marker;Loglikelihood;AverageProb;Beta_0;NumError;
M29-E43/T33_3a;-8.107834862772238656778;0.0008183306055646481178586;-7.107425474110704679762;0;
M30-E43/T33_4;-554.3251617926469135833;0.8314238952536824877075;1.595752459348846121097;0;
M31-E43/T33_5;-687.7223075130108115305;0.7495908346972176759218;1.096431262721749494817;0;
M32-E43/T33_5a;-32.4837880239515812697;0.9959083469721767594351;5.49470618055342679845;0;
M33-E43/T33_6;-846.0828952159908412645;0.5196399345335515548307;0.07860017906459519935938;0;
M34-E43/T33_7;-689.9064632869886086186;0.7479541734860883797176;1.087730788480575540604;0;
M35-E43/T33_8;-494.7201337983121866015;0.8600654664484451718243;1.815833814374291282803;0;
M36-E43/T33_9;-786.9512971699043398233;0.6554828150572831423873;0.6432281133859778035362;0;
M37-E43/T33_9a;-186.15731304355914566;0.03518821603927986906607;-3.311221784843808503551;0;
M38-E43/T33_10;-843.708612941618700809;0.4631751227495908346992;-0.1475667107409061074594;0;
M39-E43/T33_10a;-114.1554289075826307057;0.01882160392798690670995;-3.953748939098364553702;0;
M40-E43/T33_10b;-215.0416028693003208244;0.04255319148936170212759;-3.113515309210374448117;0;
M41-E43/T33_10c;-89.55672256365675831802;0.9860883797054009819926;4.261021501868539289922;0;
M42-E43/T33_11;-706.7607182998526887951;0.7348608837970540098123;1.019426552509870218346;0;
M43-E43/T33_11b;-53.16595200678386934356;0.9926350245499181669181;4.903627331607830748192;0;
M44-E43/T33_12;-110.179201846749689947;0.01800327332242225859257;-3.999034382417775824884;0;
M45-E43/T33_13;-647.8572913545741895902;0.2225859247135842880499;-1.250659918298589200788;0;
M46-E43/T33_13a;-114.1554289075826307057;0.01882160392798690670995;-3.953748939098364553702;0;
M47-E43/T33_13c;-8.107834862772238656778;0.0008183306055646481178586;-7.107425474110704679762;0;
M48-E43/T33_14;-358.0536924251055071744;0.08592471358428805237086;-2.364441448911677337444;0;
M49-E43/T33_14a;-270.2093590585781419655;0.05867768595041322314012;-2.775226086405866718701;0;
M50-E43/T33_14c;-828.8917845486628268037;0.5859247135842880523505;0.3471434976731800707268;0;
M51-E43/T33_14d;-26.88124531479512846488;0.9967266775777414075372;5.71867108714995171434;0;
M52-E43/T33_14e;-62.76417930836585944154;0.009001636661211129296286;-4.701306470754721708247;0;
M53-E43/T33_15;-846.70504097130827037;0.4885433715220949263533;-0.04583453634379941157617;0;
M54-E43/T33_16;-169.2879471967020192924;0.9689034369885433715225;3.439067655717565222132;0;
M55-E43/T33_16a;-26.88124531479512846835;0.003273322422258592471434;-5.71867108714995171434;0;
M56-E43/T33_16b;-298.0714980308468083914;0.06628477905073649754692;-2.645211195189636873637;0;
M57-E43/T33_17a;-93.78847756381700594142;0.01472995090016366612135;-4.203032867972601655145;0;
