Marker Env_1 Loglikelihood Gscore WaldScore NumError Efron McFadden McFaddenAdj CoxSnell Nagelkerke AIC BIC Beta_0 Beta_1 
M2 P9 -134.2352389391771901317 0.09305201273662080940774 0.09278137104886841758064 0 7.349557503700290513396e-05 0.0003464804501726487001752 -0.0145475746049649443158 9.446458640352555944861e-05 0.0003014039493710021393074 272.4704778783543802634 296.041044443042736245 -3.687659686944269061193 0.06882315685964343438891 
M3 P1 -304.0316411574750173341 3.300019171614347102128 3.303755471835375650365 0 0.003858221703615132740575 0.005397803832173380669205 -0.00114495068101668840202 0.003344667367363830009618 0.003901381867115568855899 612.0632823149500346682 635.6338488796383906498 2.694834380860582255567 -0.1231843570273373678593 
M3 P2 -304.3753990798217276825 2.612503326920926405297 2.627118312414273976034 0 0.002488737404118165560951 0.00427324198323399047925 -0.002269512529956078700395 0.00264877343426010421288 0.003087501724851730741152 612.7507981596434553651 636.3213647243318113467 2.249154419067075130626 -0.1462633604880204026292 
M3 P3 -305.3709850689905424825 0.6213313485832968052769 0.6182229984281569825093 0 0.000861015874986789046374 0.001016304621282459281703 -0.005526449891907609843732 0.0006305943390577943194995 0.000733558140085691713953 614.7419701379810849651 638.3125367026694409467 2.372535585056971560317 -0.00984339992918276425313 
M3 P4 -301.6512339479471525305 8.060833590670076709284 7.964205455718232279112 0 0.008854425246578362352582 0.01318501383885768864614 0.006642259325667619520705 0.008150193007718815841819 0.009552839989852920610667 607.3024678958943050611 630.8730344605826610427 -0.9048933746067502895062 0.07359889707061117144132 
M3 P5 -302.9648991231535776203 5.433503240257226529764 5.538584085027352010584 0 0.005788539656919531456447 0.00888751946190645831505 0.002344764948716389189615 0.005501060391338369749258 0.006430616511543064358388 609.9297982463071552406 633.5003648109955112222 2.729607552704593379867 -0.0007173845594661573255955 
M3 P6 -304.3872509316153050496 2.588799623333771671163 2.510466381081596250885 0 0.002977586149539115142459 0.004234470104827946397574 -0.00230828440836212272786 0.002624772213646329403064 0.00305945144822912157742 612.7745018632306100992 636.3450684279189660808 1.052376313897200920408 0.1659492836573834599276 
M3 P7 -302.5075856186256814673 6.348130249313018835799 6.377197009606119352827 0 0.007362843792636337308423 0.01038356445975278816119 0.00384080994656271903576 0.00642407908819438638404 0.007516581037676720334054 609.0151712372513629346 632.5857378019397189162 3.62164363707352070839 -0.02798468150651668934132 
M3 P8 -305.5518217959132126205 0.2596578947379565294185 0.2584857271306594957659 0 0.0002920406799867129084974 0.000424719465670549264566 -0.006118035047519519860869 0.0002635773332657484133157 0.0003065018272418496962388 615.1036435918264252409 638.6742101565147812225 2.109693390658097564717 0.002171472997383242968553 
M3 P9 -305.6621762463429499979 0.03894899387848177463312 0.03891634698047983069051 0 4.61373697201157106744e-05 6.370842637066224034212e-05 -0.006479046086819406830883 3.954134398540556883869e-05 4.597048889887971464628e-05 615.3243524926858999957 638.8949190573742559773 2.359042106054730427193 -0.02624768773750382896363 
