Marker Env_1 Loglikelihood Gscore WaldScore NumError Efron McFadden McFaddenAdj CoxSnell Nagelkerke AIC BIC Beta_0 Beta_1  
M81 P5 -60.37517537327789563656 0.01076686523677797269194 0.01081610487621460344584 0 2.402039498525492932507e-05 8.915837688244917461772e-05 -0.03303408591817856186038 1.093076791027234933792e-05 8.38050698500152153487e-05 124.7503507465557912731 148.3209173112441472547 -4.538266433630810263271 9.028360988687313221965e-05 
M81 P6 -57.89001612296739373437 4.981085365857781777077 3.680531905772061478013 0 0.004118089115514192086187 0.04124742685696516474991 0.008124182561904153769116 0.005044174665375884825114 0.03886880507062091550654 119.7800322459347874687 143.3505988106231434503 0.8857440808343170652868 -0.7605303489918086659875 
M81 P7 -60.04005555731718751789 0.6810064971581942100398 0.6522571698260316443814 0 0.001072839260992641146654 0.005639286142973659740011 -0.02748395815208735124078 0.0006911382083609263270001 0.00530249217341596600099 124.0801111146343750358 147.6506776793227310174 -3.258596399202412984171 -0.02667471641991728227642 
M81 P8 -60.03960651593252653008 0.6819045799275161856556 0.6863700548112751144165 0 0.0009616565696214653081661 0.005646722996715018911325 -0.02747652129834599206946 0.0006920493369506434131258 0.005309487298179439218703 124.0792130318650530602 147.6497795965534090418 -5.238558599163372624975 0.009574221064600029767089 
M81 P9 -60.27285353333901543604 0.2154105451145383737233 0.2157276677565193650707 0 0.0003092107007888232140039 0.001783774027390278916257 -0.03133947026767073206453 0.0002186669976320197023023 0.001676845656558452467152 124.5457070666780308721 148.1162736313663868537 -3.935206761689534324519 -0.1701858575773198919192 
M82 P1 -112.4982827339552319407 8.051770230881303724857 7.702723489088016994505 0 0.008519386269898735733648 0.03454978644982894804387 0.01738596509918053885976 0.008141066578261770578066 0.03074911943777129438629 228.9965654679104638813 252.567132032598819863 -4.99283538718114070637 0.3596389460688988185455 
M82 P2 -111.9115855278585732815 9.225164643074621043106 8.910146517335955656906 0 0.008376063837849877583008 0.03958476946601274804038 0.02242094811536433880206 0.009321928288253856760646 0.03525124774003138672414 227.8231710557171465631 251.3937376204055025447 -3.702098781233287806084 0.5083438230396317741486 
M82 P3 -115.7979928991188526138 1.452349900554062378522 1.426634429435050196847 0 0.002119032736426756133134 0.006231968557935477443042 -0.01093185279271293179528 0.001473380411854700400374 0.005527853576536059322546 235.5959857982377052277 259.1665523629260612093 -3.953353325058353604643 0.0281518694205845860359 
M82 P4 -112.0474128369196086252 8.953510024952550355737 8.548476628189745857821 0 0.01126025947892046600359 0.03841911163238128875709 0.02125529028173287951877 0.009048670026851779999745 0.03420847489770737116658 228.0948256738392172505 251.6653922385275732321 2.520255404439759374388 -0.1451927815074129155372 
M82 P5 -113.68503995696697699 5.678255784857813626143 5.242395550694641670562 0 0.006319328341476228945092 0.02436514196864634541635 0.007201320617997936178022 0.005748142531265634704724 0.02165870088608077402315 231.3700799139339539801 254.9406464786223099617 -2.864510539443341458109 -0.001502663924249081047917 
